position,target_season,player_id,player_name,games,completions_p10,completions_p50,completions_p90,attempts_p10,attempts_p50,attempts_p90,passing_yards_p10,passing_yards_p50,passing_yards_p90,passing_tds_p10,passing_tds_p50,passing_tds_p90,interceptions_p10,interceptions_p50,interceptions_p90,carries_p10,carries_p50,carries_p90,rushing_yards_p10,rushing_yards_p50,rushing_yards_p90,rushing_tds_p10,rushing_tds_p50,rushing_tds_p90,games_played_estimate,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,full_projection_p10,full_projection_p50,full_projection_p90,targets_p10,targets_p50,targets_p90,receptions_p10,receptions_p50,receptions_p90,receiving_yards_p10,receiving_yards_p50,receiving_yards_p90,receiving_tds_p10,receiving_tds_p50,receiving_tds_p90
WR,2024,00-0031547,DeVante Parker,108,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,1.0638080800590217,5.0450022746964365,18.864915432010307,10.3105861643737,48.89691254256402,182.8415667180999,1.6466701855125403,3.9526218339825574,7.928973594429399,0.9999444667132745,2.334758035171235,5.415329171539074,0.6386361334574729,27.102442395252005,74.4958626047123,0.0,0.0,1.0
WR,2024,00-0031549,Nelson Agholor,128,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,0.5310363348147491,4.611047752911137,17.61474736907428,5.146883154165264,44.69096076220278,170.7247518767096,1.0,3.032819257124979,5.825725406755904,0.4782703386011123,1.9946928924755032,4.787551962086589,0.5276599621363683,26.163548604356336,68.27195406987691,0.0,0.0,1.0
WR,2024,00-0031588,Stefon Diggs,133,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,4.13280130882988,11.247326608251399,27.685212681039125,40.05572508206811,109.01076264319693,268.32919976602176,4.474375031951544,7.755470863172153,12.55586514544748,1.9999468772022246,5.42322141490876,8.761788937747587,21.32854431627655,58.241051933426384,119.6480937197374,0.0,0.0,1.1597690618862992
WR,2024,00-0031763,DeAndre Carter,50,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,0.0,1.6936357443259853,11.659219453683935,0.0,16.414969579820657,113.00288937444492,0.91,1.1651237262290906,3.2126846397077733,0.0,1.0033016872793894,2.4305906935730417,0.0,6.903340570465957,32.28628760110893,0.0,0.0,1.0
WR,2024,00-0031868,Damiere Byrd,58,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,0.0,2.3691079966557367,13.697720533352987,0.0,22.96174713287616,132.76034508669187,1.0,1.9501882698511674,4.508332658297931,0.0,0.9788598612917437,3.1067934460792705,0.0,13.90248135363993,45.90927087273716,0.0,0.0,1.0
WR,2024,00-0031941,Jamison Crowder,105,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,0.4782703386011123,2.953809853778245,15.70968123942377,4.635467269375656,28.628764512549065,152.26056754986962,1.0,2.0887359107885333,6.458712646713256,0.4782703386011123,1.8061378192234556,5.028891387216166,0.0,11.476720345547895,46.80789852207602,0.0,0.0,1.0
WR,2024,00-0032208,Phillip Dorsett,78,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,0.0,2.540338306532426,14.804538372260273,0.0,24.621336768478532,143.4877882319689,1.0,1.8842664358660044,4.259288738751765,0.0,1.0905235660572317,3.027824066756283,0.0,14.498147404751942,57.76714305503989,0.0,0.0,1.0
WR,2024,00-0032211,Tyler Lockett,140,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,2.357436936115101,9.318761053571102,23.843936566207965,22.848629477925492,90.31881839318604,231.09898023157348,3.117562628251772,6.994987673870425,11.327432596477903,1.0000024104889504,4.072261085171028,7.7466395153730065,13.574345256261502,52.46499968400074,100.97297050834958,0.0,0.0,1.0
WR,2024,00-0032385,Sterling Shepard,84,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,0.0,1.5968534027787853,12.980845954843492,0.0,15.47694072817207,125.81229002927856,1.0,1.6875718135516502,4.907052417753914,0.0,0.8940314315602342,2.679844288401849,0.0,7.0282197121855114,43.01001666441641,0.0,0.0,1.0
WR,2024,00-0032398,Chris Moore,73,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,0.0,3.583388642915226,16.627976785141982,0.0,34.73073579321348,161.1608245849195,1.0,3.9127553438240232,6.394094019891313,0.0,1.5727764771693595,3.9730995456603155,0.0,20.106121657458665,66.54877239481665,0.0,0.0,1.0
WR,2024,00-0032464,Kalif Raymond,64,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,0.014450293523372671,3.633177258668826,16.904293301518315,0.14005439445896942,35.21329446366831,163.83892536657524,1.0,2.7230734439090964,5.437402616238926,0.0,1.8892667617713081,4.680236141053095,0.1445029352337267,17.439104968975172,62.240571604652224,0.0,0.0,1.0
WR,2024,00-0032543,Alex Erickson,62,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,0.0020494397327335003,3.9607802738536195,16.220961161989464,0.019863474764985227,38.388471621172165,157.21596861754665,1.0,3.0340063107794455,6.578263656491958,0.0,1.933878171646363,4.144542719923036,0.020494397327335004,20.269021022072565,60.76418442066426,0.0,0.0,1.0
WR,2024,00-0032688,Robby Anderson,109,,,,,,,,,,,,,,,,,,,,,,,,,9.692148760330578,0.0,2.0187317866159438,13.698259174623686,0.0,19.565848783089653,132.76556567801595,1.0,1.5971771482636625,4.551942368370408,0.0,1.0086960503791906,2.516716432482837,0.0,10.100357362367532,51.8154274214085,0.0,0.0,1.0
WR,2024,00-0032775,Demarcus Robinson,90,,,,,,,,,,,,,,,,,,,,,,,,,8.223044397463003,1.7147180558998611,6.268715560785768,21.11968187443311,14.100202702796006,51.54792637140856,173.6680817137581,2.033649833135228,5.036009324374247,9.479984525590172,0.9999734386011123,2.6689603210353927,5.896336093827727,7.147446172987489,35.99755239750375,92.23345780605382,0.0,0.0,1.0
