# Rookies are excluded per ADR-0006: this model only projects Veterans (players with at least one prior season and >=16 career games before the target season). See docs/adr/0006-rookies-excluded-from-v1.md.
position,target_season,player_id,player_name,games,carries_p10,carries_p50,carries_p90,rushing_yards_p10,rushing_yards_p50,rushing_yards_p90,rushing_tds_p10,rushing_tds_p50,rushing_tds_p90,targets_p10,targets_p50,targets_p90,receptions_p10,receptions_p50,receptions_p90,receiving_yards_p10,receiving_yards_p50,receiving_yards_p90,receiving_tds_p10,receiving_tds_p50,receiving_tds_p90,games_played_estimate,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,full_projection_p10,full_projection_p50,full_projection_p90,completions_p10,completions_p50,completions_p90,attempts_p10,attempts_p50,attempts_p90,passing_yards_p10,passing_yards_p50,passing_yards_p90,passing_tds_p10,passing_tds_p50,passing_tds_p90,interceptions_p10,interceptions_p50,interceptions_p90,adp,model_rank,adp_rank,rank_diff,large_disagreement
RB,2026,00-0038555,Tank Bigsby,41,0.01104837484435153,2.9475761431181784,10.040582982489711,0.0,12.264807441743155,64.74058637290804,0.0,0.0,0.9790591687335575,0.0,0.5963295971573942,2.13209285962323,0.0,2.656139888758746e-05,1.5632240562587836,0.0,0.00015936839332552483,15.760480535873121,0.0,0.0,0.0,7.3447121820615795,0.0,1.2265232424125359,15.487685759538246,0.0,9.00846020012902,113.7525942700222,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0038597,Chase Brown,43,7.304736892685929,14.528771982831296,21.758818117144124,22.01513545650819,59.93307136373226,109.92203639661564,0.0,0.0,1.5447668398568508,0.9999734386011123,3.9438888312498213,7.469193981213417,0.9999734386011123,2.9222905205380587,5.69643233750912,2.8946389520625253,18.513099932793246,47.43041037327288,0.0,0.0,0.9999734386011123,7.3447121820615795,3.4909508794581843,10.76690765019061,36.700118685245755,25.64002945133511,79.07983778148699,269.5518087906303,,,,,,,,,,,,,,,,15.7,11.0,9.0,2.0,False
RB,2026,00-0038685,Chris Brooks,29,0.0,0.9812642733324326,5.782436149797095,0.0,1.9093626461197006,30.66260557201618,0.0,0.0,2.656139888758746e-05,0.0,1.0144893498724283,2.9182501202205655,0.0,1.000014535533082,2.010104759288189,0.0,1.4534526571717892,18.043793180363764,0.0,0.0,0.0,7.3447121820615795,0.0,1.3362960658622312,6.880904002919509,0.0,9.814709993779292,50.5382594538392,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0038705,Emari Demercado,35,0.8733689253636876,4.235933134608864,11.842554988945887,8.082608019041417e-05,14.828949379410254,61.0159432966097,0.0,0.0,0.930488561107094,0.0,1.1225825230839563,3.9608366661604175,0.0,1.0,3.1906345922915698,0.0,4.960251084073163,28.434575884236953,0.0,0.0,0.0,8.765988372093023,8.082608019041417e-06,2.9789200463483416,17.7186178770188,7.085204791110289e-05,26.113178487684372,155.32119827950638,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0038797,Emanuel Wilson,37,1.6885340535408393,6.052907104871682,14.497448714489098,1.3772862865091562,21.82171304278476,69.78800347533411,0.0,0.0,1.0,0.0,0.9999970487334569,3.682590307736165,0.0,1.0,3.085182421757693,0.0,2.9261069873388244,27.340961587562898,0.0,0.0,0.0,8.765988372093023,0.13772862865091562,3.4747820030123586,18.798078928047396,1.2073275572582443,30.45989863396444,164.78374130095034,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0038951,Sean Tucker,35,1.258944058795797,4.4736481261643455,13.378304749347445,0.9657385599866203,18.140279305167322,58.38713868206479,0.0,0.0,1.0,0.0,0.8719878958096796,2.7024043423464166,0.0,2.656139888758746e-05,2.1413591594505585,0.0,0.5001638995528087,18.5125666973654,0.0,0.0,0.0,7.3447121820615795,0.09657385599866203,1.8640708818709009,15.831329697393578,0.7093071766220338,13.691064114303478,116.27656008667986,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0039040,De'Von Achane,42,8.77348571977824,16.052533112398944,21.048582942278937,24.919668592287433,66.80795506711151,108.59563787920415,0.0,0.0,1.230213457740645,0.9999734386011123,4.167184697854632,7.619952449736063,0.9999734386011123,3.0606502517620284,6.786755832079758,2.8946389520625253,21.33427785669113,59.96962022599845,0.0,0.0,0.0,7.3447121820615795,3.781404193036108,11.874873544142293,31.02456238904389,27.77332544189104,87.21752838010266,227.86648132194017,,,,,,,,,,,,,,,,9.4,5.0,5.0,0.0,False
RB,2026,00-0039139,Jahmyr Gibbs,46,7.554349875115588,14.65708472407814,19.445972120998274,21.871069869189174,59.18748527253842,111.07264532681509,0.0,0.0,2.0988605897205397,0.9999734386011123,4.564471488919077,9.30160178271875,0.9999734386011123,3.181986333853573,7.150213386498606,3.354952081818783,24.778795064144482,62.43361849711562,0.0,0.0,0.9999734386011123,7.3447121820615795,3.5225756337019085,11.578614367521864,43.09384393882159,25.872304169083694,85.04158999653106,316.5118805493235,,,,,,,,,,,,,,,,1.9,6.0,2.0,4.0,False
RB,2026,00-0039165,Zach Charbonnet,46,4.05943977237488,10.812941563619555,19.060155884315773,9.317600411129952,40.09599181850373,93.11978648889834,0.0,0.0,1.75780197695336,0.0,0.9833484197369169,3.895529110985003,0.0,1.0,2.8529807556987725,0.0,6.575806083606547,23.50526066109676,0.0,0.0,0.0,7.3447121820615795,0.9317600411129953,5.667179790211027,25.062297332418442,6.843509324720815,41.62380444309612,184.07536052786315,,,,,,,,,,,,,,,,152.7,32.0,36.0,-4.0,False
RB,2026,00-0039361,Bucky Irving,25,6.00376194059342,12.97556350002988,20.140763484171696,14.389337702476341,48.48404097684608,100.4832687077989,0.0,0.0,1.0810999938249588,0.9999734386011123,3.200178136785061,6.473703756856315,0.9999734386011123,2.8732896839380353,5.485303471181064,2.541044479649438,17.358975175815253,45.72997951716589,0.0,0.0,0.9999734386011123,7.3447121820615795,2.69301165681369,9.45759129920417,32.593068888233965,19.779395522233347,69.46328602822446,239.38671011418427,,,,,,,,,,,,,,,,44.9,18.0,17.0,1.0,False
